,state,county,Donald Trump,Joe Biden,Others
412,Connecticut,New London,2045.0,6912.0,166.0
413,Connecticut,New Milford,7493.0,8004.0,237.0
414,Connecticut,Newington,7074.0,10031.0,250.0
415,Connecticut,Newtown,7292.0,9695.0,282.0
416,Connecticut,Norfolk,381.0,659.0,20.0
417,Connecticut,North Branford,4786.0,3718.0,127.0
418,Connecticut,North Canaan,812.0,862.0,31.0
419,Connecticut,North Haven,7879.0,7389.0,173.0
420,Connecticut,North Stonington,1710.0,1601.0,64.0
421,Connecticut,Norwalk,13311.0,29382.0,526.0
422,Connecticut,Norwich,5643.0,9306.0,341.0
423,Connecticut,Old Lyme,2099.0,3226.0,88.0
424,Connecticut,Old Saybrook,2995.0,4253.0,95.0
425,Connecticut,Orange,4317.0,4816.0,120.0
426,Connecticut,Oxford,5118.0,3269.0,127.0
427,Connecticut,Plainfield,4080.0,2849.0,157.0
428,Connecticut,Plainville,4811.0,4670.0,166.0
429,Connecticut,Plymouth,3984.0,2477.0,132.0
430,Connecticut,Pomfret,1113.0,1357.0,54.0
431,Connecticut,Portland,2641.0,3155.0,92.0
432,Connecticut,Preston,1529.0,1270.0,69.0
433,Connecticut,Prospect,3935.0,2110.0,66.0
434,Connecticut,Putnam,2193.0,2063.0,94.0
435,Connecticut,Redding,2052.0,3829.0,94.0
436,Connecticut,Ridgefield,5689.0,10278.0,278.0
437,Connecticut,Rocky Hill,4670.0,6115.0,155.0
438,Connecticut,Roxbury,660.0,937.0,25.0
439,Connecticut,Salem,1291.0,1285.0,47.0
440,Connecticut,Salisbury,502.0,2023.0,30.0
441,Connecticut,Scotland,537.0,406.0,27.0
442,Connecticut,Seymour,5242.0,4011.0,139.0
443,Connecticut,Sharon,510.0,1019.0,26.0
444,Connecticut,Shelton,12747.0,10837.0,308.0
445,Connecticut,Sherman,1076.0,1234.0,26.0
446,Connecticut,Simsbury,5575.0,10296.0,303.0
447,Connecticut,Somers,3204.0,2445.0,82.0
448,Connecticut,South Windsor,5630.0,9596.0,297.0
449,Connecticut,Southbury,6260.0,6570.0,160.0
450,Connecticut,Southington,13473.0,12855.0,390.0
451,Connecticut,Sprague,882.0,641.0,34.0
452,Connecticut,Stafford,3461.0,2809.0,152.0
453,Connecticut,Stamford,18242.0,40437.0,733.0
454,Connecticut,Sterling,1229.0,639.0,40.0
455,Connecticut,Stonington,4240.0,7453.0,196.0
456,Connecticut,Stratford,10516.0,17363.0,315.0
457,Connecticut,Suffield,4155.0,4363.0,168.0
458,Connecticut,Thomaston,2768.0,1528.0,78.0
459,Connecticut,Thompson,3005.0,2050.0,100.0
460,Connecticut,Tolland,3975.0,5103.0,179.0
461,Connecticut,Torrington,9220.0,7283.0,321.0
462,Connecticut,Trumbull,9769.0,11919.0,314.0
463,Connecticut,Union,307.0,249.0,15.0
464,Connecticut,Vernon,5848.0,9259.0,293.0
465,Connecticut,Voluntown,918.0,566.0,40.0
466,Connecticut,Wallingford,11831.0,13560.0,394.0
467,Connecticut,Warren,470.0,465.0,10.0
468,Connecticut,Washington,770.0,1461.0,37.0
469,Connecticut,Waterbury,14157.0,21573.0,377.0
470,Connecticut,Waterford,5124.0,6917.0,275.0
471,Connecticut,Watertown,7976.0,4612.0,166.0
472,Connecticut,West Hartford,8451.0,27298.0,542.0
473,Connecticut,West Haven,8126.0,14245.0,234.0
474,Connecticut,Westbrook,1958.0,2288.0,65.0
475,Connecticut,Weston,1680.0,4733.0,115.0
476,Connecticut,Westport,4222.0,13048.0,253.0
477,Connecticut,Wethersfield,6413.0,9612.0,252.0
478,Connecticut,Willington,1445.0,1674.0,85.0
479,Connecticut,Wilton,3819.0,7676.0,220.0
480,Connecticut,Winchester,2799.0,2304.0,30.0
481,Connecticut,Windham,2824.0,5365.0,159.0
482,Connecticut,Windsor,4090.0,13183.0,241.0
483,Connecticut,Windsor Locks,3156.0,3751.0,114.0
484,Connecticut,Wolcott,6519.0,3333.0,150.0
485,Connecticut,Woodbridge,1816.0,3855.0,68.0
486,Connecticut,Woodbury,3295.0,3181.0,83.0
487,Connecticut,Woodstock,2520.0,2548.0,111.0
488,Delaware,Kent,41009.0,44552.0,1464.0
489,Delaware,New Castle,88364.0,195034.0,4235.0
490,Delaware,Sussex,71230.0,56682.0,1440.0
491,District of Columbia,District of Columbia,1725.0,39041.0,915.0
492,District of Columbia,Ward 2,2918.0,29078.0,885.0
493,District of Columbia,Ward 3,3705.0,39397.0,1129.0
494,District of Columbia,Ward 4,1913.0,42489.0,894.0
495,District of Columbia,Ward 5,1769.0,43320.0,1018.0
496,District of Columbia,Ward 6,4337.0,56719.0,1862.0
497,District of Columbia,Ward 7,1134.0,36382.0,868.0
498,District of Columbia,Ward 8,1085.0,30897.0,876.0
499,Florida,Alachua,50972.0,89704.0,1928.0
500,Florida,Baker,11911.0,2037.0,111.0
501,Florida,Bay,66097.0,25614.0,1313.0
502,Florida,Bradford,10334.0,3160.0,138.0
503,Florida,Brevard,207883.0,148549.0,4332.0
504,Florida,Broward,333409.0,618752.0,5511.0
505,Florida,Calhoun,5274.0,1209.0,43.0
506,Florida,Charlotte,73243.0,42273.0,824.0
507,Florida,Citrus,65352.0,27092.0,764.0
508,Florida,Clay,84480.0,38317.0,1608.0
509,Florida,Collier,128950.0,77621.0,1247.0
510,Florida,Columbia,23836.0,8914.0,292.0
511,Florida,DeSoto,8313.0,4259.0,87.0
512,Florida,Dixie,6759.0,1365.0,43.0
513,Florida,Duval,233762.0,252556.0,6502.0
514,Florida,Escambia,96674.0,70929.0,2769.0
515,Florida,Flagler,43043.0,28161.0,512.0
516,Florida,Franklin,4675.0,2120.0,54.0
517,Florida,Gadsden,7465.0,16153.0,144.0
518,Florida,Gilchrist,7895.0,1700.0,90.0
519,Florida,Glades,3782.0,1385.0,26.0
520,Florida,Gulf,6113.0,1985.0,65.0
521,Florida,Hamilton,3815.0,1963.0,52.0
522,Florida,Hardee,6122.0,2298.0,65.0
523,Florida,Hendry,7906.0,4929.0,105.0
524,Florida,Hernando,70412.0,37519.0,991.0
525,Florida,Highlands,34873.0,16938.0,359.0
526,Florida,Hillsborough,327398.0,376367.0,8298.0
527,Florida,Holmes,8080.0,924.0,64.0
